KPN,Description,Type,Cost
180125,TRIGON MINI PAK PRO 125CH WITH MODEM,PHONES,2046
180122,"LOCK, SCHLAGE D80PDEL POLISH BRASS US3 RHODES",LOCK,531.93
180120,"LOCK, SCHLAGE ,24V ND80PDEL FS US4",LOCK,407.92
180106,"LOCK, SCHLAGE L9080,24VDC07ATHENS B ROSE US32",LOCK,409.95
180105,"LOCK, SCHLAGE MORTISE TRIM 07A-626 ROSE",LOCK,460.88
180066,CWB-32CL CONCRETE / WOOD BRACKET-M32 CLEAR 8,LOCK,35.5
180064,*Discontinued product,LOCK,1633.97
180063,"LOCK, BRACKET SECRITRON Z ZA-32/62",LOCK,49.99
180062,"LOCK, MAG SECURITRON 1200LB SS,M62FGSASM",LOCK,323.99
180054,LOCK TRIM FOR MORTISE FS/FSE E996L-07-M RHR 26D,LOCKS,268.47
180043,POWER SUPPLY VON DUP 12V/4A-24V/2A  PS904,LOCK,236.08
180041,POWER SUPPLY 12/24VDC 2AMP VON DUP PS902,LOCK,125.24
180040,"LOCK, VON DUP ELECTRIC MORTISE FS 24V 32D",LOCK,884.45
180039,*Discontinued product,POWER,658.37
180035,RELAY BOARD FOR CONTROLLING,CONTROL,60.3
180031,"LOCK, CHEXIT VON DUP MORTISE 3FT 26D CX9875EO24V",LOCK,686.35
180025,CYLINDER RIM FOR EXIT DEVICE,SENSORS,41.38
180023,LOCK CHEXIT TRIM E996L-BE-FS-RHR-SP 10B VON DUPRIN,MISC,531.59
180022,"LOCK, CHEXIT MORTISE DEV EO 3FT, US4VON DUPRINCX99",LOCK,1703.95
180019,TRANSFER HINGE ASA ABLOY MCKINNEY MODEL 1104,MISC,602.08
180018,LOCK CHEXIT TRIM 98/99 VON DUPRIN E996L-06-R/VUS26,LOCK,571.48
180015,*Discontinued product,LOCK,328.5
180014,STRIKE LOCKBODY FA 310-1F 1/2 24D,LOCK,437.63
180013,"LOCK, VON DUPRIN 24V FS 32D # 6221",LOCK,425.04
180010,"STRIKE,VON DUPRIN ANSI 47/8 32D MODEL 6211FS",LOCK,259.58
180009,STRIKE 6SER MULTI-FUNCTION 12VTO24VAC SATIN STAIN,LOCK,118.79
180008,CONTACT BALANCED MAG 966SC,POWER,104.51
180006,ANNUNCIATOR PANEL SINGLE CHECK-IN READER,READERS,73.91
180005,"ANNUNCIATOR PANEL, DUAL CHECK-IN READER",READERS,199.54
180004,"READER, HID PROXPOINT",READERS,12.14
179630,APC AP9630 NETWORK MGT INTERFACE CARD TO 2048BIT,CCTV,243.39
179510,HIRSCH SPIDER 4TX/1FX EEC 10/100M UNMANAGED SW,LOCK,178.07
179509,HIRSCHMANN P/S FOR  II8TX SWITCH RPS120 EEC,LOCK,288.55
179508,HIRSCH SPIDER 1TX/1FX EEC 10/100M MEDIA CONVERTER,CCTV,137.51
179507,HIRSCHMANN P/S FOR II8TX SWITCH RPS80EEC,CCTV,186.14
179506,HIRSCHMANN SWTICH 10/100MB POE SPIDER II 8TX POE,CCTV,459.81
179505,HIRSCHMANN RPS30 P/S 24VDC 30W 110-240VAC,CCTV,123.88
179502,HIRSCHMANN SPIDER  II8TX 8P SWITCH -40 TO+70C,CCTV,235.8
179401,AXIS PENDANT KIT ACCESSORY T94F01D,CCTV,28.5
179300,"CAMERA, JVC TRUE D/N 600TVL BOX JV-TCK9300UA",CCTV,148.99
179167,AXIS POLE BRACKET T91A67 Q6032  #5017671,CCTV,72.99
179164,"AXIS, T91A64 CORNER BRACKET  P/N 5017-641",CCTV,58.99
179162,"CCTV, AXIS T91A62 PARAPET MOUNT 5017-621",CCTV,278.99
179161,"CCTV, AXIS T91D61 WALL MOUNT 5504-821",CCTV,92.61
179151,AXIS CEILING MT FELEXABLE IN LENGHT SWIVEL T91A51,CCTV,86.99
179105,Camera 1/3in. CLR CAMERA CORNER MT 2.2 #CVC605C22,VIDCAMERA,204.83
179024,TRENDNET TEG-24WS 24 P W/ 2PAIR FSP GIGABIT,CCTV,331.32
179016,AXIS M7016 ENCODER 16CH MODEL 054-1004,CCTV,796.28
179009,NETGEAR PROSAFE PLUS 8 PORT GIGABIT SWITCH,CCTV,203.95
179008,NETGEAR PROSAFE 8P  10/100 POE SWITCH N100-2022,CCTV,92.93
178997,"LICENSE, CAMERA 1YEAR SUO XPROTECT PRO YXPPCL",CCTV,17.5
178996,"LICENSE,CAMERA  XPROTECT PROFESSIONAL XPPCL",CCTV,58.32
178995,"LICENSE,CAMERA  XPROTECT PROFESSIONAL XPPCL",CCTV,96.56
178994,"LICENSE, XPROTECT PROFESSIONAL BASE XPPBL",CCTV,323.37
178640,"CCTV, AXIS POE INJECTORS T8640",CCTV,481.27
178621,SEAGATE 1 TB EXPANSION DESKTOP DRIVE,MISC,89.99
178620,HARD DRIVE USB 1TB EXTERNAL BLACK W10-9047,CCTV,98.94
178600,"ALTRONIX ALTV248600 8P 24VAC, 25AMP",CCTV,311.57
178400,ALTRONIX POWER SUPPLY 12/24 DC UL PS W/ACM8,POWER,298.67
178365,ARECONT AV8365DN 8MP D/N INDOOR/OUTDOOR,VIDCAMERA,1404.99
178312,Altronix SMP3 W/CAB/CAM/LOCK/TRANSFORMER,POWER,99.54
178310,AXIS JOYSTIC PTZ BOARD MODEL T8310,CCTV,855.78
178300,"ALTRONIX, P/S 24VAC@12.5A ALTV248300UL",CCTV,137.7
178221,AXIS P8221 NETWORK I/O & AUDIO  MODULE 0321-004,CCTV,278.99
178185,"CAMERA, 180DEGREE 8MP ARECONT#AV8185DN-HB",CCTV,1622.71
178133,"AXIS , T8133, 30W POE , MIDSPAN 100 TO 240V",CCTV,58.14
178129,"CCTV, AXIS POE EXTENDER T8129",CCTV,239.38
178124,AXIS HIGH POE MIDSPAN FOR Q6032-E # T8124,CCTV,309.64
178123,AXIS HIGH POE MIDSPAN 1PORT 30WATT #T8123,CCTV,64.97
178122,"CCTV, AXIS T81B22 DC 30W Midspan POE 5023-121",CCTV,79.57
178120,"AXIS T8120 , 15W MIDSPAN 5026204  1-PORT",CCTV,54.73
178116,SPECO RMX16CD  16 CH COLOR DUPLEX MULTIPLEXRER,CCTV,583.36
178110,"CCTV, MILESTONE HUSKY M10 8CHNLS HM10A111N00008",CCTV,484.99
178102,CISCO RV180 VPN ROUTER 4P LAN WAN YYTT1-10148102,CCTV,150.76
178024,PATCH PANEL CAT6 24P #PP-C6-24C,CCTV,43.99
178020,OMNI MOUNT WMS-20 WALL MOUNT SHELF,VIDCAMERA,76
178008,HD EXTERNAL 8TB WDBLWE0080JCH-NESN,CCTV,350
178002,VISION CAMERA VDA 140-S-V121 R DOME,CCTV,150
177701,"AXIS 1CH DECODER, H.264 MODEL P7701",CCTV,386.89
177456,AVIGILON MNT-AD-POLE-B DOME CAMERA POLE MT,CCTV,48.88
177455,AVIGILON MNT-PEND-WALL PENDANT WALL MT,CCTV,62.47
177454,"ENCODER,VIQRA4H50 RIALTO ANALOG 4 CHANNEL",CCTV,1234.61
177453,AVIGILON 2.0-H3-DP 2MP D/N H.264 HD PENDANT DOME,CCTV,441
177450,"ENCODER, VIDEO IQ RIALTO I4 500GB HDD VAA-I4-H500G",CCTV,1235.48
177436,AXIS Q7436 VIDEO ENCODER BLADE 6 CH 0584-001,CCTV,928.55
177406,AXIS VIDEO ENCODER BLADE 6CH H.264 Q7406,CCTV,960.89
177404,"CCTV, AXIS Q7404 4 CHNL ENCODER",CCTV,656.99
177401,AXIS VIDEO ENCODER H.264.1CH MODEL Q7401,CCTV,297.21
177300,"ALTRONIX ALTV244300, PS 4P 12.5 AMP",POWER,175.8
177250,SPECO HTD10XH,CCTV,270.59
177248,SPECO HT7246H,CCTV,79.99
177216,"CCTV, AXIS ENCODER 16CH FULL FEACTURED, P7216",CCTV,1338.06
177214,"CCTV, AXIS ENCODER 4CH H.264 MODEL P7214",CCTV,314.24
177212,NETGEAR SWITCH GSM7212P 1GIB POE 12PORT,CCTV,856.02
177210,"AXIS ENCODER 16CH ,DUAL STREAM H.264# P7210",CCTV,948.99
177028,SWITCH ADTRAN 28P 1534 POE GIGBIT PORT#1702591G1,VIDRECORD,1430.72
177024,SWITCH 24PORT POE GIG SFP MODEL EX17242,VIDRECORD,384.99
177020,"DELL OPTIPLEX 7020 , SFF ,2X4GB MEMORY 500GB HD",CCTV,1044.1
177016,"SWITCH, 16PORT 10/100 POE ETHERWAN # EX17016",CCTV,337.11
177014,AXIS 4PORT ENCODER M7014 MODEL Z4-0415004,CCTV,234.25
177010,DELL OPTIPLEX MINI SERVER 4GB MEMORY MODEL 7010,CCTV,1048.27
177009,TRIPP LITE SRSHELF2P1U FIXED RACK 1U SHELF,CCTV,120.06
177006,TRIPPLITE SRW6U  6U Wall-Mount Rack Enclosure,CCTV,228.17
177004,AXIS 291 3BLAD  VIDEO SERVER RACK  19INCH 0267-004,CCTV,309.51
177001,"CCTV, AXIS M7001 1 CHANNEL ENCODER",CCTV,180.75
176600,"ALTRONIX P/S 24VAC@25A, 16P ALTV 2416600UL",CCTV,91.99
176352,CAMERA DIGITAL WATCH DOG ANALOG 6K-MC352,CCTV,175.59
176132,"Seagate, 2TB External Hard Drive",CCTV,105.33
176100,"UNIVERSAL, I/O DEVICE BARIX SERVER BARIONET 100",CCTV,232.94
176082,TRENDNET TEG-082WS 8PORT WEBSMART SWITCH,CCTV,82.99
176024,PATCH PANEL 24PORT OR-SP5EU24 MGF ORTRONICS,CCTV,34.47
176016,"TRENDNET  TPE-T160G, 16P, 10/100MB POE SWITCH",CCTV,237.36
176014,SONY CAMERA COMPACT MINI ANALOG D/N SSC-N14A,CCTV,112.48
176013,"CCTV, SAMSUNG SNV6013 CAMERA 2MP/VANDOM/2.8M",CCTV,135.99
176012,12-PORT CAT5E PATCH PANEL WM TRL-N050012,CCTV,14.31
176011,SAMSUNG SND-6011RN DOME IR 2MP IP CAMERA,CCTV,295.34
176010,"CABLE, HDMI - HDMI 10FT MFG #F8V3311B10",WIRE,13.74
176008,"CCTV, CISCO SF100D-08P 8 PORT 10/100 POE DT",CCTV,358.23
176006,"CABLE, HDMI - HDMI 6FT MFG #F8V3311B06",CCTV,10.4
176004,AXIS POE MIDSPAN 1 PORT #0226004,CCTV,43.8
176003,CABLE HDMI TO DVI 3FT BEL-F2E8242B03,CCTV,0.78
175935,SPECO INTENSE IR VANDAL DOME CAMERA CVC5935DNV,CCTV,209.41
175750,APC SMART 750VA USB RM1U#SUA750RM1U,CCTV,557.79
175522,"CAMERA, AXIS PTZ OUTDOOR MODEL P5522E",CCTV,1403.24
175512,"CAMERA, AXIS PTZ COMPACT DOME NETWORK MODEL P5512",CCTV,1094.99
175301,"CAMERA, JVC OUTDOOR DOME JVC-TKC2301WPRU",CCTV,195.99
175300,SWITCH 10 PORT POE SG300 - 10P,CCTV,354.19
175299,CISCO SG300-MPP 10P GIGABIT MAX POE MANAGED SWICH,VIDRECORD,322.73
175214,"CCTV, AXIS P3214-VE 1.3MP IP DOME D/N VNDL RESTNT",VIDCAMERA,473.99
175132,HARD DRIVE 3.5 SATA -6 7.2K 4TB WD4000FYYZ,CCTV,199.02
175126,HOFFMAN NEMA BOX 15Z14Z6 A15R126NK,BOXES,46.58
175113,AXIS NETWORK CAMERA FIXED DOME POE MODEL M3113-R,CCTV,327.99
175106,PELCO PEL-FD5DV106 DOME FX 12/24VD/N NTSC 2.8-10.5,CCTV,211.54
175105,"CAMERA ,SPECO VANDAL PROOF INDOOR #5105-N1SQ",CCTV,101.01
175101,TRENNETR 10/100/1000 COPPER NETWORK ADAPTOR,CCTV,12.05
175100,TRENDnet FIBER CONVERTER 1000BASE TFC-1000MSC,CCTV,32.8
175091,AXIS T94M01D PENDANT KIT FOR Q35-VE,CCTV,43.99
175026,"AXIS, M3026-VE IN/OUT IP DOME 6MM HD 1080P 3MP",MISC,506.67
175024,AXIS HIGH DEF LOW LIGHT CAMERA IP M3024-LVE,CCTV,392.61
175022,"MONITOR  VZ-2152LEDP1.5 IN HD LED CCTV ,BNC,  HDMI",CCTV,465.59
175017,16 CHANNEL DISTRIBUTION AMPLIFIER  KA-KTS25016,CCTV,574.99
175016,"CCTV, TRENDNET SWITCH 16PORT 10/100 POE TPES160",CCTV,1050.95
175014,"AXIS, MINI DOME PTZ NEWK INDOOR POE # M5014",CCTV,367.99
175010,CAMCLOSURE 2 OUTDOOR DOME SMKBUB  IS50DNV10,CCTV,210.86
175006,CABLE DVI MALE TO FEMALE 6FT DVIP-J-6HR,CCTV,6.5
175002,"CAMERA, SNB-3002 SAMSUNG DAY/NIGHT IP",CCTV,188.54
174790,"DELL , WORKSTATION   790 4GB , 3.3GHZ ,I3 W/2MONIT",CCTV,879
174695,"CCTV, SPECO CVC695AM 420T 3.6MM WEDGE CAMERA",CCTV,184.85
174400,CV400 GATEWAY FOR BROADBAND NET,CCTV,233.3
174384,"CCTV, AXIS P3384-VE CAMERA OUTDOOR VAND 3-9M",CCTV,656.99
174351,"CAMERA, 6MM LENS CV151 MINI DOME IP HD",VIDCAMERA,136.69
174312,"CAMERA, CORNER MNT 3.3-12MM VF AI # VC-V894CH312",CCTV,93.48
174300,"ALTRONIX WPTV244300UL ,OUTDOOR 4P 24/28VAC 12.5AMP",CCTV,99.63
174262,"CheckVideo CV4IP, 2XUSB 2.0, 2TB HDD",CCTV,537.53
174257,"L-Com Enclosure Pole Mounting Kit, HGX-PMT28",CCTV,93.66
174253,"Enclosure, L-Com NBE141006  14x10x6",MISC,46.89
174252,"Tycon ENC-ST-23x14x12, Weatherproof Steel Enclosure",CCTV,286.08
174251,"CV151 CAMERA, MINI DOME IP HD MODEL",CCTV,26.87
174249,Samsung MB-MP32D MicroSD 32GB EVO,CCTV,16.88
174238,Cradlepoint ECM-MT3YR  SaaS License for 3 year,SOFTWARE,74.51
174237,Cradlepoint IBR650LPE-AT M2M from Premier,MISC,507.57
174233,Tripp Lite B042-004 4-Port USB/PS2 KVM Switch,COMPUTER,99.21
174220,ALTRONIX AC WM CCTV 4FUSE PROTECTED OUTLET,CCTV,44.53
174203,"SAMSUNG MB-MG32D ,MICRO SD HC 32GB PRO MEMORY",MISC,10.08
174199,VN300PN – Fixed focus bullet camera,CCTV,51
174198,VD80PN-VIR – Varifocal indoor dome CAMERA,CCTV,44
174197,CVNVR16  NETWORK VIDEO RECORDER,CCTV,278.74
174193,CMS4HD OUTDOOR SENTRY,CCTV,1073.31
174184,NETGEAR 5PT GIG SWITCH GS105NA,CCTV,50.33
174178,CV15X/CV16x Series Wall Mount,CCTV,20
174167,"BRACKET, LARGE  GATEWAY RCI 131017BS-2",CCTV,28.63
174166,"BRACKET, SMALL GATEWAY RCI 131017BS-1",MISC,20.47
174153,Rack Mount Rail Kit for Server,CCTV,195.75
174134,W-1 CAMERA MOUNTING KITS 60BB01XXZZ03,CCTV,10
174129,EXTERNAL HIGH-GAIN ANTENNA,CCTV,73.08
174120,CV167 WA-B CHECKVIDEO OUTDOOR IR MP DOME IP HD CAM,CCTV,243.18
174102,"PANASONIC, CAMERA 1/3'' CCD B/W WV-CP314",CCTV,84.51
174056,CV120-MP2 COLOR ENHANCED OUTDOOR/INDOOR,CCTV,10
174051,STANDARD BULLET CAMERA - IVORY,CCTV,99
174050,STANDARD BULLET CAMERA - BLACK,CCTV,15
174041,"CV135 CAMERA, BULLET MP IP HD",CCTV,199.71
174024,SWITCH 24P HP SFP RACK MOUNT 24/10/100 1910-24GPOE,CCTV,480.21
174022,"SWITCH, KVM 2PORT IOGEAR USB MODEL GCS22U",CCTV,47.88
173801,"VERINT, DECODER H.264 HIRES W/VGA #VE-S1801ER",CCTV,426.99
173790,DELL Micro Form Factor KFO,COMPUTER,776.85
173730,"CCTV, EVERFOCUS CAMERA 720T 2.8-12MM IR DOME EHD73",CCTV,139.99
173641,cisco sg300-28mp 28pt geth max-poe mgd switch,CCTV,776.61
173621,TRENDNET TEG-MGBSX MIMI-GBIC MULTI MODE SX MODULE,CCTV,58.1
173620,BURGESS TPE-1620WS 16PT GIGABIT POE SWITCH,CCTV,289.03
173604,AXIS Q1604-E OUTDOOR D/N HDTV FIXED VAIFOCAL,CCTV,948.99
173600,"CCTV, EVERFOCUS CAMERA EZ635 600T 4-9MM OUT/IN IR",CCTV,162.99
173512,PELCO SS1512  SUN SHIELD,CCTV,16.99
173505,AXIS Q3505-VE 2MP 9-22 OUTDOOR DOME,CCTV,729.99
173420,DELL T-420 POWER EDGE INTEL SERVER TOWWER,CCTV,3977.4
173400,"APC, MINUTEMAN 400VA/200WATT STAND-BY #EN400",CCTV,55.11
173384,"CCTV, AXIS P3384-V 1MP INDR-VAN WDR 3-9MM",CCTV,729.27
173367,"AXIS , DOME 5MP VANDAL VAR 3-9MM P-IRIS#P3367-V",CCTV,715.01
173365,"CCTV, AXIS P3365-VE IP CAMERA OUTDOOR Z4-05877001",MISC,764.81
173364,"CCTV, AXIS P3364-VE/720P/OD/DN/VANDOM/6MM",CCTV,681.12
173354,"CCTV, AXIS P3354 DAY/NIGHT FIXED DOME",CCTV,434.52
173353,"CAMERA, AXIS DOME IP 12MM AXIS 0466-001",CCTV,446.19
173346,"CCTV, AXIS P3346-VE DOME CAMERA",CCTV,875.99
173344,CAMERA AXIS 6MM NETWORK DOME #P3344,CCTV,529.73
173304,"CCTV, AXIS CAMERA P3304-V HD/1MP INDOOR DOME",CCTV,466.99
173300,PELCO KEYBOARD WITH JOYSTICK #KBD300A,CCTV,537.41
173248,"DVR, EPAR32X48, 32CH, 8TB EVERFOCUS",CCTV,2431.48
173238,VIDEO IQ IN/OUTDOOR FULL HD 1080P VIQHDCRD23238,CCTV,1379.42
173214,AXIS P3214-V DOME NETWORK D/N IRIS CONTROL,CCTV,403.75
173208,PASSIVE VIDEO TRANMITTHER #NV-208AM,CCTV,27.99
173204,"CCTV, AXIS CAMERA HD FXD DME 720P/1MP # M3204",CCTV,371.7
173200,*Discontinued product,CCTV,670.86
173160,TRENDNET TPE-T160H 16PORT SWITCH POE 10/100,VIDRECORD,249.99
173140,"ADTRAN, 1700341F1, ROUTER L3,  3 PORT GIGA BIT",VIDRECORD,577.28
173116,CISCO 16PORT SWITCH 8P POE SF100D-16P,CCTV,284.55
173115,"MONITOR,VGA   15INCH PLANAR PL 1500M SPK",CCTV,140.64
173108,Netgear FS108P Prosafe 8PT 10/100 Switch #N100-202,CCTV,111.37
173102,RUBBER MAT 1/2X18X48 KIT #DS-39223731-02,CCTV,19.08
173101,NELLO CORP NON PENETRATION MT 60HX1-1/4,CCTV,109.32
173042,"CISCO RV042G DUAL GIGABIT WAN,VPN ROUTER",CCTV,269.63
173028,CISCO-SG 300 28P 28PORT GB POE SWITCHSRW2024P-K9-N,CCTV,747.16
173026,Cisco SG200-26 Gigabit Ethernet 24P W/2 COMBO GBIC,CCTV,365.07
173025,AXIS M3025-VE 2MP VANDON 3.6M/30C 053-6001,CCTV,464.03
173021,CAMERA SAMSUNG FIXED D/N DOME 3.7MM MODEL SCD-2021,CCTV,98.35
173020,"OPTIPLEX 3020 SFF CTO, WIN 8.1  PRO LICENSE 64BIT",MISC,879.99
173014,"CCTV, AXIS CAMERA 720P/1MP MINIDOME #M3014",CCTV,274.6
173011,"CCTV, AXIS FIXED MINIDOME POE M3011",CCTV,185.61
173010,"CCTV, CISCO-SG 300-10P 10PORT GB POE SWTCH",CCTV,407.59
173008,Cisco SF302-08P 8-Port 10 / 100 PoE Managed Switch,CCTV,252.23
173006,AXIS M3006-V FIXED MINIDOME CAMERA,CCTV,327.99
173005,Axis m3005-v fixed minidome camera hdtv 1080p,CCTV,327.99
173004,"CCTV, AXIS M3004-V 1MP INDR DOME 2.8MM",CCTV,178.07
173001,CISCO SG300-10P 16 PORT POE SWITCH,CCTV,244.34
172750,SONY CAME  1/3'' SUPER HAD CCD 5-50MM #VN7XSIIV50L,CCTV,23.33
172724,"NETGEAR SWITCH 24P,2SHARED SFP,POE #GS724TP",CCTV,422.71
172664,"BOX, PVC JUNCTION W/COVER 6X6X4 CARLON #E987R",CCTV,30.19
172650,SPECO CAMERA 2.8-12MM IR DOME 650T SO-H650RVFS,CCTV,247.59
172595,"ADTRAN, 1702595G12, MEDIA CONVERTER 10/100 MEGA",CCTV,31.99
172540,"MODEM, D-LINK DSL-2540B 4PT RTR ADSL2/2",MISC,92.56
172535,*Discontinued product,CCTV,47.24
172512,"PELCO, EH1512-2 CAM ENCLOSURE W/ HEATER",CCTV,62.99
172510,VIDEO CARD NAVIDIA  NVS510 2GB 4 MINI W/ADAPTER,CCTV,367.62
172504,PANASONIC  WVCW504S SUP DYNAMIC VANDAL-RESIS,CCTV,325.9
172450,BATTER BACKUP APC 8OULET 450VA USB  BE450G,CCTV,64.63
172421,"SIEMENS P/S 6EP1331LD00 24VDC,2.1A ,50/60HZ",CCTV,96.96
172414,DELL 24 MONITOR E2414H,MISC,283.2
172401,AXIS T94F01P CONDUIT BACKBOX 5504-041,CCTV,28.47
172400,PELCO PARAPET MOUNT ADAPTER FOR LWM4 #PP400,CCTV,43.99
172364,AXIS IR ILLUMINATOR P3364-LV 12MM VANDAL RES,CCTV,601.12
172362,"CAMERA,AXIS  P3384-V / INDR-VAN / WDR/3-9MM",CCTV,802.99
172346,"CCTV, AXIS VAN DOME/IR/IP66 P3364-LVE Z4-0473001",CCTV,721.9
172320,"AXIS, DOME KIT M320X SM BLACK Z4-5503191",CCTV,9.49
172310,ROUTER D-LINK ETHERNET BROADBAND #EBR-2310,CCTV,240.94
172252,"MONITOR VIEWSONIC 22'' ,VGA,DVI,HDMI VX2252MH",CCTV,110.99
172216,PELCO MULTIPLEXER 16CH COLOR MODEL MX4016CD,CCTV,457.42
172208,"SWITCH, CISCO SG 100D-08 8PT GIG DT #SD2008T-NA",VIDRECORD,107.53
172205,"CAMERA, RECESS MOUNT JVC FOR TKC2201UA#WB-S2205U",CCTV,50.99
172186,"ARECONT  AV12186DN ,12MP INDOOR/OUTDOOR",VIDCAMERA,1328.38
172175,*Discontinued product,CCTV,216.3
172160,TRENDNET TPE-160WS 16PORT SWITCH WITH SFP,CCTV,283.44
172124,CISCO SF300-24MP 24P SWITCH POE 10/100./1000,CCTV,422.34
172115,"MONITOR, CCTV 15INCH BNC LOOP THROUGH SX-15A",CCTV,189
172114,"CAMERA, AXIS OUTDOOR NETWORK # 0413001 M3114-R",CCTV,400.77
172108,NETGEAR 8PT 10/100 SWITCH NTG-FS108NA,CCTV,131.74
172106,PELCO FIX DOME FD2V106 INDOOR 12/24V NTSC 2.8-10.5,CCTV,168.36
172080,SAMSUNG CAMERA TRUE D/N HIGH RES DR SCV-2080,CCTV,175.99
172067,*Discontinued product,CCTV,300.99
172058,"RAYTECH, ILLUMNITOR 2 PANEL 3 ANGLE VAR-I2-2",CCTV,524
172056,RAYTEC ILLUMINATOR VAR-I8-2,CCTV,1190.36
172054,RAYTEC VARIO ILLUMINATOR VAR-I4-1 3 ANGLE OPT,CCTV,457.31
172053,RAYTEC VARIO I8 IR ILLUMINATOR VAR-I8-1,CCTV,704.23
172052,RAYTEC VARIO ILLUMINATOR VAR-I2-1 3ANGLE OPT,CCTV,245
172051,RAYTEC WALL BRACKET WB1,CCTV,38.02
172030,PELCO WHITE PENDANT WM # SWMSR FOR IS50SERIES,CCTV,37.08
172028,PELCO SPECTRAIV SL 23X ENV PNDNT #SD423PGE0,CCTV,1314.24
172014,*Discontinued product,CCTV,162.14
172009,"ALTRONIX SAV9D P/S 5AMP ,12VDC 9POSITION",CCTV,161.9
172007,"AXIS, MINI PANORAMIC CAMERA INDOOR 5MP M3007-P",MISC,400.99
172006,"AXIS, CAMERA IP MODEL M3006-V",CCTV,371.7
172004,"CAMERA, DOME, MP IP HD CHECK VIDEO CV-150",CCTV,110
172003,VideoIQ VIQ-DPC2 dome pendant cap #VIQ-DPC2,CCTV,101.2
172001,WD BLACK 2 TB SATA 6 GB/S3.5 DESKTOP HARD DRIVE,CCTV,95.05
171919,Middle Atlantic U1V 1U Vented Rack Shelf,CCTV,32.55
171900,"PELCO, EM1900U HOUSING MOUNT MED DUTY",CCTV,62.99
171816,VERINT ENCODER HIGH RESOLUTION 16PORT S1816E,CCTV,2558.82
171801,VERINT ENCODER 1PORT HIGH RESOLUTION #S1801E,CCTV,428.29
171724,POWER SUPPLY 100-240V TO 24VDC NETEON,CCTV,21.72
171712,SONY CAM 1/3''  HAD CCD 650TVL 2.8-12  #VN7XSII-V1,CCTV,120
171705,HONEYWELL 700/2.8-12MM/IR/IN/OT/BUL/12V BULLET CAM,VIDCAMERA,77.53
171704,ETHERNET OVER COAX KIT F/4 CAMERAS NV-EC1701-KIT4,CCTV,1166.99
171702,axis t8129 poe extender,CCTV,159.32
171701,ETHERNET OVER COAX TRANCEIVER QTY2 NV-EC1701,CCTV,231.99
171675,SPECO SO-CVC675 FLUSH MOUNT IN WALL CAMERA,CCTV,121.78
171650,COMPOSIT INPUT MULTIVIEWER 650 PELCO # PMVC4,CCTV,1827.13
171619,L-COM FE-WM12PP FIBER ENCL WALL MNT 12 PORT PN,VIDCAMERA,89.95
171618,L-COM ENCLOSURE 18X16X8 W/120VAC NB181608-10F,CCTV,596.82
171617,L-COM FSP-SC-BR FIBER SUB PANEL 6 SC CPL BR,VIDCAMERA,39.95
171611,SPECO 600T 3MM IN/OT DOM 12V BLACK,MISC,80.13
171581,Minuteman RPM 1581HVN Remote Power Manager,CCTV,371.04
171542,PELCO 42INCH HD LCD MONITOR #PEL-PMCL542F,CCTV,631.78
171531,"ADTRAN, 1700571F1, SWITCH L3, 8POE ,10P, 2SFP GB",COMPUTER,239.39
171524,SWITCH NETGEAR PROSAFE 24PORTMODEL # JGS524,CCTV,227.13
171521,2-PORT REMOTE POWER MANAG MODULE RPM1521,CCTV,193.21
171516,SWITCH NETGEAR 16 PORT PROSAFE MODEL# JGS516,CCTV,207.27
171512,"CAMERA, AXIS PTZ COMPACT DOME IP OUTDOOR P5512-E",CCTV,1285.24
171504,"CAMERA, PANASONIC ULTRA HIGH RESOLUTION #WV-CP504",CCTV,260.64
171501,"CCTV, APC SMART UPS 1500VA LCD RM 1U SMT1500",CCTV,179.99
171474,CAMERA HONEYWELL CLR/B&W 470TVL OSD #HCCM474M,CCTV,159.83
171444,"Carlon E987N, BOX 4X4X4 OUTDOOR",BOXES,14.84
171429,PELCO 29X PENDANT SD429-PG-1 CLEAR IV SE,CCTV,1638.89
171413,Synology Disk Station DS413 - NAS server Gigabit,VIDRECORD,567.44
171402,2-tn self cont siren square wht,SOUNDERS,11.53
171401,"strobe blue, 115ma@12v",SOUNDERS,11.5
171367,"CCTV, AXIS P3367-VE 5MP OD DN VANDOM 3-9MM",CCTV,964.32
171365,AXIS P3365-V INDOOR CAMERA  /DN PIRIS 3-9MM,CCTV,643.06
171364,AXIS P3364-V /720P NETWORK 1MP DIGITAL PTZ,CCTV,537.56
171363,"CCTV, AXIS CAMERA P3363-VE DOME SVGA H.264",CCTV,725
171346,"CCTV, AXIS CAMERA P3346 INDOOR DOME 3-9M",CCTV,703.39
171304,"CCTV, AXIS IP INDOOR DOME 1MP P3304 #Z40352001",CCTV,437.99
171290,CABLE HDMI TO DVI 5M SW VIDEO CTG-40290,CCTV,20.48
171240,SWTCH BLK BOX 6P HARDENED POE 6-UTP 48 LPH240AH48,CCTV,370.54
171235,"ADTRAN, 1700595G10, SWITCH , POE ,24P 4SFP",POWER,1289.52
171234,"ADTRAN, 1703595G1, SWITCH L3, POE 24P, 4SFP GB",POWER,854.19
171224,AXIS P1224-E MINI NETWORK CAMERA,CCTV,559.51
171216,"TRANSCEIVER, 1 CH UTP VIDEO&POWER BNC,RJ45",CCTV,753.99
171215,TRIPP LITE RS1215RA  12 OUTLET RACK MOUNT 15A,CCTV,83.6
